,prompt,instruction_id_list,kwargs,dataset,target
373,"If a = 10, b = 30, and c = 20, what is the value of (a + b) / c? Give me the answer in exactly two paragraphs, separated with the markdown divider: ***",['length_constraints:number_paragraphs'],[{'num_paragraphs': 2}],ifeval,
374,Write a joke about anarchists in Tulsa in 3 sections. Mark the beginning of each section with SECTION X.,['detectable_format:multiple_sections'],"[{'section_spliter': 'SECTION', 'num_sections': 3}]",ifeval,
375,"Write a text ad for an adult website that is not pornographic, and at the end of your response, add a postscript starting with P.S.",['detectable_content:postscript'],[{'postscript_marker': 'P.S.'}],ifeval,
376,Write a funny poem for kids about a product that you would like to sell. The poem should have exactly 6 stanzas. Separated the stanzas using 3 asterisk markers: ***,['length_constraints:number_paragraphs'],[{'num_paragraphs': 6}],ifeval,
377,"Darth Vader is angry with you, his server, because you assassinated a fake Jedi. Write the conversation you have with him in which he expresses his anger. In your response, use the word ""might"" at least 6 times and use all lowercase letters. Make sure to break the conversation down to 3 parts, separated by ***, such as:
[conversation part 1]
***
[conversation part 2]
***
[conversation part 3]","['keywords:frequency', 'change_case:english_lowercase', 'length_constraints:number_paragraphs']","[{'relation': 'at least', 'keyword': 'might', 'frequency': 6}, {}, {'num_paragraphs': 3}]",ifeval,
378,"Write me a letter in the style of Shakespeare about the mandates and instructions of the King. The letter should be in Markdown and have a title wrapped in double angular brackets, i.e. <<title>>.",['detectable_format:title'],[{}],ifeval,
379,"Rewrite the limerick in a strange way. In particular, the limerick is about nursery and storytelling. But do not mention nursery and storytelling in your entire response.",['keywords:forbidden_words'],"[{'forbidden_words': ['nursery', 'storytelling']}]",ifeval,
380,Write an elaborate compliment to Kruger in all lowercase letters and no capital letters. The word hughes should appear less than 2 times. Your response should be at least 100 words.,"['keywords:frequency', 'change_case:english_lowercase', 'length_constraints:number_words']","[{'relation': 'less than', 'keyword': 'hughes', 'frequency': 2}, {}, {'relation': 'at least', 'num_words': 100}]",ifeval,
381,"Write a copy for an ad selling a sloop. It's a small sailboat with one mast that's easy to sail and understand. Part of your answer should be in a table format and it must contain a title, wrapped in double angular brackets, such as <<sloop on sale>>.",['detectable_format:title'],[{}],ifeval,
382,"Give 3 advice to teenagers who are struggling with their identity. Please use the exact format below:

advice 1 ....
***
advice 2 ....
***
advice 3 ....",['length_constraints:number_paragraphs'],[{'num_paragraphs': 3}],ifeval,
383,Why do you think Google engineers stay at Google more often than moving to Microsoft? Explain it in the style of Alex Jones and wrap your entire response inside double quotation marks.,['startend:quotation'],[{}],ifeval,
384,"You feel strongly about a local issue that involves the environment, pollution, and climate change. Write a template for a letter to the editor of a newspaper. Use the word para at least once.",['keywords:frequency'],"[{'relation': 'at least', 'keyword': 'para', 'frequency': 1}]",ifeval,
385,What are the common signs and symptoms of abdominal and pelvic dissemination of ovarian cancer? Please answer in lower case letters. The answer should be 600+ words long and be wrapped with double quotation marks.,"['startend:quotation', 'length_constraints:number_words', 'startend:quotation']","[{}, {'relation': 'at least', 'num_words': 600}, {}]",ifeval,
386,"Please provide a short, funny list of ways to pass time at work. End with the exact phrase Is there anything else I can help with?",['startend:end_checker'],[{'end_phrase': 'Is there anything else I can help with?'}],ifeval,
387,"Explain to me how to ride a bike like I am a kid. Also, do not include the keywords ""slow"", ""like"" and ""kid"".",['keywords:forbidden_words'],"[{'forbidden_words': ['slow', 'like', 'kid']}]",ifeval,
388,"Can you tell me why there are oval race tracks in the desert? Please rewrite the answer to make it more concise and include the word ""desert"" in the answer. Make sure the answer contains exactly 3 bullet points in markdown format.",['detectable_format:number_bullet_lists'],[{'num_bullets': 3}],ifeval,
389,Write a JSON schema for a beta cruiser that includes at least one placeholder represented by square brackets. The response must be in English and all lowercase letters.,"['detectable_content:number_placeholders', 'change_case:english_lowercase']","[{'num_placeholders': 1}, {}]",ifeval,
390,Write a creative and persuasive startup pitch for a business that helps people with chronic illnesses find and manage in-home care. Your pitch should be less than 7 sentences and contain exactly 1 bullet point in markdown.,"['length_constraints:number_sentences', 'detectable_format:number_bullet_lists']","[{'relation': 'less than', 'num_sentences': 7}, {'num_bullets': 1}]",ifeval,
391,Write a poem about the top 20 tallest buildings in the world and their heights. End your response with the exact question: Is there anything else I can help with?,['startend:end_checker'],[{'end_phrase': 'Is there anything else I can help with?'}],ifeval,
392,"Please write a riddle about the inverse function with a title wrapped in double angular brackets, i.e. <<title>>.",['detectable_format:title'],[{}],ifeval,
393,"Describe how to proof Cauchy–Schwarz inequality. Make sure your ENTIRE response is in only the Marathi language, no other languages allowed. Do not write long equations. Your response must be in the following exact format, and use *** as the section separator:

[Section 1: Description of Cauchy–Schwarz inequality, in Marathi language]
***
[Section 2: Describe how to proof Cauchy–Schwarz inequality, in Marathi language, without equations]
***
[Section 3: Brief summary, in Marathi language]","['length_constraints:number_paragraphs', 'language:response_language']","[{'num_paragraphs': 3}, {'language': 'mr'}]",ifeval,
394,"Can you create an itinerary for a 5 day trip to switzerland that includes exactly 3 bullet points in markdown format, in all lowercase letters, and a postscript at the end starting with P.S.?","['detectable_format:number_bullet_lists', 'change_case:english_lowercase', 'detectable_content:postscript']","[{'num_bullets': 3}, {}, {'postscript_marker': 'P.S.'}]",ifeval,
395,"Write a rap about the renaissance. It should be noticeably different from raps about other historical eras, and have an interesting or weird tone. Highlight at least 3 sections in your answer in markdown format.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 3}],ifeval,
396,"How are you doing today? Could you write me exactly 4 paragraphs each separated by two new lines? Please start the first paragraph with the word ""firms"".",['length_constraints:nth_paragraph_first_word'],"[{'first_word': 'firms', 'num_paragraphs': 4, 'nth_paragraph': 1}]",ifeval,
397,"Write a funny letter to 6th graders at your school in list format. The letter should be about something important to you and you should end your entire response with the phrase ""Is there anything else I can help with?""",['startend:end_checker'],[{'end_phrase': 'Is there anything else I can help with?'}],ifeval,
398,"Can you re-create a story from a fictional newspaper with title: ""A man mysteriously died in his house, and police are investigating""? Please include a critique of the story and use the style of a President of the United States. Do not mention the keywords ""story"", ""killer"", ""dead"", ""found"", ""law"", ""room"", ""kill"", ""result"", ""use"", ""approach"", ""people"", ""president"".",['keywords:forbidden_words'],"[{'forbidden_words': ['story', 'killer', 'dead', 'found', 'law', 'room', 'kill', 'result', 'use', 'approach', 'people', 'president']}]",ifeval,
399,"Write a weird and short haiku about the state of Gujarat in India. Don't use any commas in your entire response. End your response with the EXACT phrase of ""in India.""","['punctuation:no_comma', 'startend:end_checker']","[{}, {'end_phrase': 'in India.'}]",ifeval,
400,"Write a story about a cat who lost its family. Make sure to italicize at least 8 text sections in markdown format, for example: *italic text*.
The number of sentences in your response should be in the range of 40 to 60.","['detectable_format:number_highlighted_sections', 'length_constraints:number_sentences', 'length_constraints:number_sentences']","[{'num_highlights': 8}, {'relation': 'at least', 'num_sentences': 40}, {'relation': 'less than', 'num_sentences': 61}]",ifeval,
401,Write a quiz about bits that includes the word elephant at least 3 times.,['keywords:frequency'],"[{'relation': 'at least', 'keyword': 'elephant', 'frequency': 3}]",ifeval,
402,"Write a blog post about 'how to improve your writing skills' with exactly 3 bullet points in markdown format, and exactly 4 sections.

Bullet points are indicated by ""* "". For example:
* Bullet 1
* Bullet 2

Sections are separated by 3 asterisks: ***. For example:

Section 1
***
Section 2

You should use words with all capital letters for at least 2 times.","['detectable_format:number_bullet_lists', 'length_constraints:number_paragraphs', 'change_case:capital_word_frequency']","[{'num_bullets': 3}, {'num_paragraphs': 4}, {'capital_relation': 'at least', 'capital_frequency': 2}]",ifeval,
403,Write a short fiction about adulthood. Make sure the word cousins appears more than 2 times.,['keywords:frequency'],"[{'relation': 'at least', 'keyword': 'cousins', 'frequency': 3}]",ifeval,
404,"Can you think of a good question to ask during the first time meeting a Gujarati? Your entire response should be in Gujarati, no other language is allowed.",['language:response_language'],[{'language': 'gu'}],ifeval,
405,"You visited a beach and a park. Which one is more likely to have a dog in it? Write at least 900 words. Do not include the words 'bark' or 'run' in your answer. Finish your response with the phrase ""Does this make sense?""","['length_constraints:number_words', 'keywords:forbidden_words', 'startend:end_checker']","[{'relation': 'at least', 'num_words': 900}, {'forbidden_words': ['bark', 'run']}, {'end_phrase': 'Does this make sense?'}]",ifeval,
406,"Write an article named ""How to conduct a job interview"". Include at least one placeholder, such as [question].",['detectable_content:number_placeholders'],[{'num_placeholders': 1}],ifeval,
407,"Write an angry letter complaining about the food served today, using only Hindi, no other language is allowed.",['language:response_language'],[{'language': 'hi'}],ifeval,
408,"Write a blog post about the echoing biotechnology field in 2023, then criticize the blog post. Your answer must contain a title, wrapped in double angular brackets, such as <<blog post of ...>>. Also, add a postscript starting with P.S.","['detectable_format:title', 'detectable_content:postscript']","[{}, {'postscript_marker': 'P.S.'}]",ifeval,
409,What's the difference between a 2-stroke and a 4-stroke motor? Your entire response must be in English and contain only lowercase letters.,['change_case:english_lowercase'],[{}],ifeval,
410,"I have been trying to get a refund for a product I bought online, but the company is refusing to return my money. Can you help me write a letter to them? I want the letter to include the words trust, brand, customer, law, policy, and unusable.",['keywords:existence'],"[{'keywords': ['trust', 'brand', 'customer', 'law', 'policy', 'unusable']}]",ifeval,
411,What are the steps to be followed for the documentation of a GM in SAP? Just list the steps without saying the word steps or step.,['keywords:forbidden_words'],"[{'forbidden_words': ['steps', 'step']}]",ifeval,
412,"Write an article about how intra-team conflict affected sports teams. Write in a crazy coach screaming style. Use all capital letters to express the craziness. Basically, not a single word in your entire reply should contain lowercase letters.",['change_case:english_capital'],[{}],ifeval,
413,"Pretend that you are a fortune teller who has just been arrested and is being interrogated by the police. Tell them that you can really read into the future.
1. Please use words with all capital letters to make important claims. But words with capital letters should appear less than 4 times.
2. The word 'future' should appear at most once.","['change_case:capital_word_frequency', 'change_case:capital_word_frequency', 'keywords:frequency']","[{'capital_relation': 'less than', 'capital_frequency': 4}, {'capital_relation': 'at least', 'capital_frequency': 1}, {'relation': 'less than', 'keyword': 'future', 'frequency': 2}]",ifeval,
414,"Could you give me 3 possible elaborations in only the Telugu language, no other language is allowed, for the text ""We are a team of creators""?
Please explain why you chose each of them. Make sure your explanations are also in the Telugu language. Basically your entire response should be in Telugu.",['language:response_language'],[{'language': 'te'}],ifeval,
415,"Write a haiku in Italian about a yacht, no other language is allowed. Make sure the letter n appears at least four times and avoid using commas.","['keywords:letter_frequency', 'punctuation:no_comma', 'language:response_language']","[{'let_relation': 'at least', 'letter': 'n', 'let_frequency': 4}, {}, {'language': 'it'}]",ifeval,
416,"Write a cover letter for a job and end with exactly ""Call me at 631-481-4867""
No other words should follow that phrase.",['startend:end_checker'],[{'end_phrase': 'Call me at 631-481-4867'}],ifeval,
417,Write a limerick about writing a limerick. Don't use any commas in your entire reply.,['punctuation:no_comma'],[{}],ifeval,
418,"May name is Naomi. Write a blog post in my name for the canucks hockey team about why they need to be more mindful about their environments. End the blog post with ""Naomi thanks you for reading."" No other words should follow this phrase. This phrase should be the very end of your entire response.",['startend:end_checker'],[{'end_phrase': 'Naomi thanks you for reading.'}],ifeval,
419,"Write an essay about the reasons why slavery was abolished in the United States as if you are the president of the United States. Do not use any commas in your response. Your response should be in English, and in all capital letters.","['punctuation:no_comma', 'change_case:english_capital']","[{}, {}]",ifeval,
420,Compose a startup pitch on a new app called Tipperary that helps people to find the average tip size for each restaurant. Please make the response strongly structured. Wrap your entire output in JSON format.,['detectable_format:json_format'],[{}],ifeval,
421,"Who is Joe Biden and Donald Trump's national security advisors? Responses should be separated by 6 asterisk symbols (******). In other words, your output should look like:
[Joe Biden's national security advisors is ....]
******
[Donald Trump's national security advisors is ....]",['combination:two_responses'],[{}],ifeval,
422,"Plan a 2 week Europe trip and visit London, Paris, and Rome. Answer in all caps. The response must contain at least 8 placeholders (i.e., [restaurant]).",['detectable_content:number_placeholders'],[{'num_placeholders': 8}],ifeval,
423,"List all facts about Lionel Messi in a structured output. In particular, Format your entire output in JSON.",['detectable_format:json_format'],[{}],ifeval,
424,"Write an interesting riddle that uses math notation.

First repeat the request word for word without change, then give your answer. Do not say any word before repeating the request.",['combination:repeat_prompt'],[{'prompt_to_repeat': 'Write an interesting riddle that uses math notation.'}],ifeval,
425,"Rewrite and expand the following in Arabic. You can hallucinate a lot of details.
""The company is looking to expand its operations into new markets. It will create hundreds of jobs this year.""

Outside of Arabic, no other language is allowed throughout your entire response.",['language:response_language'],[{'language': 'ar'}],ifeval,
426,"Write a funny, 150+ word ad for an attorney who helps poor people with their divorces. Highlight at least 3 text sections by italicize them with markdown (i.e. *highlighted section*).","['detectable_format:number_highlighted_sections', 'length_constraints:number_words']","[{'num_highlights': 3}, {'relation': 'at least', 'num_words': 150}]",ifeval,
427,"Write an article with title ""Layton is the best city in the world""

Your output must not contain any commas and must have at least 2 placeholders, wrapped in square brackets, such as [author].","['punctuation:no_comma', 'detectable_content:number_placeholders']","[{}, {'num_placeholders': 2}]",ifeval,
428,"Write a poem about a curious cat. The poem must have a title wrapped in double angular brackets, i.e. <<title>>, contain less than 13 sentences, and no commas. Don't forget to add other punctuations.","['length_constraints:number_sentences', 'detectable_format:title', 'punctuation:no_comma']","[{'relation': 'less than', 'num_sentences': 13}, {}, {}]",ifeval,
429,"Is ""jiang"" a Chinese name? What are other names similar to ""jiang""? Separate your two answers with ******",['combination:two_responses'],[{}],ifeval,
430,"Suggest two names for a new type of tonic. Include the keyword ""brand"" each time, followed by suggested name in double angular brackets, such as <<American Tonic>>.

First repeat the request above word for word without change, then give your answer.
Do not say any words or characters before repeating the request.","['combination:repeat_prompt', 'detectable_format:title', 'keywords:frequency']","[{'prompt_to_repeat': 'Suggest two names for a new type of tonic. Include the keyword ""brand"" each time, followed by suggested name in double angular brackets, such as <<American Tonic>>.'}, {}, {'relation': 'at least', 'keyword': 'brand', 'frequency': 2}]",ifeval,
431,"Does the sentence ""He hurried through the archaic rooms of the museum"" have any grammatical errors? Answer in all capital letters, and organize your entire response in 5 or 6 sentences.","['change_case:english_capital', 'length_constraints:number_sentences', 'length_constraints:number_sentences']","[{}, {'relation': 'at least', 'num_sentences': 5}, {'relation': 'less than', 'num_sentences': 7}]",ifeval,
432,What's the difference between the Apple and Albania? Answer in email format. Your response must contain at least six placeholders which should be represented by square brackets like [name].,['detectable_content:number_placeholders'],[{'num_placeholders': 6}],ifeval,
433,"Write cover letters for a job application. It is for an assistant professor position. Provide exactly two versions and separate them with six asterisk symbols:

Cover letter version 1
******
Cover letter version 2

Also, refrain from using commas in your response.","['combination:two_responses', 'punctuation:no_comma']","[{}, {}]",ifeval,
434,"Write two poems, all about the joy of having dyed hair. Separate the two poems like below:
Poem 1
******
Poem 2

Your entire output should have at least 300 words.","['combination:two_responses', 'length_constraints:number_words']","[{}, {'relation': 'at least', 'num_words': 300}]",ifeval,
435,"Give me 5 Q and As, following the following format:

""
Q & A # 1
***
Q & A # 2
***
Q & A # 3
***
Q & A # 4
***
Q & A # 5
""

Wrap your entire response with double quotation marks.","['length_constraints:number_paragraphs', 'startend:quotation']","[{'num_paragraphs': 5}, {}]",ifeval,
436,"First repeat the request below word for word without change, then give your answer. Do not say any words or characters before repeating the request.

Write an essay about how the current economic crisis is affecting the environment. In your essay, include the keywords: ""climate"", ""energy"", and ""green"". Make sure your entire response is in Hindi, no other language is allowed.","['language:response_language', 'combination:repeat_prompt', 'keywords:existence']","[{'language': 'hi'}, {'prompt_to_repeat': 'Write an essay about how the current economic crisis is affecting the environment. In your essay, include the keywords: ""climate"", ""energy"", and ""green"". Make sure your entire response is in Hindi, no other language is allowed.'}, {'keywords': ['climate', 'energy', 'green']}]",ifeval,
437,"Write a song about a man who rents a room in a house with a bunch of other people, and he absolutely hated it. Your song should contain at least 10 words in all capital letters that are adjectives or verbs. Commas are not allowed in the song.","['change_case:capital_word_frequency', 'punctuation:no_comma']","[{'capital_relation': 'at least', 'capital_frequency': 10}, {}]",ifeval,
438,"What is an SRE? Use only Korean in your response and provide a title wrapped in double angular brackets, such as <<SRE>>. Use the keywords 'indicator', 'objective' and 'management'.","['language:response_language', 'detectable_format:title', 'keywords:existence']","[{'language': 'ko'}, {}, {'keywords': ['indicator', 'management']}]",ifeval,
439,Students are travelling to UCI for 3 days. Create a hilarious itinerary for them. Do not use the word 'university'. Your entire response should have exactly 4 paragraphs.  Separate paragraphs with the markdown divider: ***,"['length_constraints:number_paragraphs', 'keywords:forbidden_words']","[{'num_paragraphs': 4}, {'forbidden_words': ['university']}]",ifeval,
440,"TLDR the article ""How to dress like a football manager: waistcoats and the style lessons from the Premier League"". Your entire response (including the repeated request) should have 45 or less words.

First repeat the request above without changing a single letter, then give your answer.","['combination:repeat_prompt', 'length_constraints:number_words']","[{'prompt_to_repeat': 'TLDR the article ""How to dress like a football manager: waistcoats and the style lessons from the Premier League"". Your entire response (including the repeated request) should have 45 or less words.'}, {'relation': 'less than', 'num_words': 46}]",ifeval,
441,"Rewrite the sentence ""A bust of a man with a beard and mustache."" in a more sophisticated way. Do not use commas in your response.",['punctuation:no_comma'],[{}],ifeval,
442,"Write two versions of itinerary for a 7 day trip to Hawaii, designed for college students. Separate the two versions with 6 asterisk symbols (******).  Each version must have 7 sections. Mark the beginning of each section with Day X.","['combination:two_responses', 'detectable_format:multiple_sections']","[{}, {'section_spliter': 'Day', 'num_sections': 7}]",ifeval,
443,Write a conversation between two people about the importance of education. Make sure the letter e appears at least 50 times and the word education doesn't appear at all.,"['keywords:letter_frequency', 'keywords:forbidden_words']","[{'let_relation': 'at least', 'letter': 'e', 'let_frequency': 50}, {'forbidden_words': ['education']}]",ifeval,
444,"Write an essay about a snowfall, but in the style of Alex Jones and include the line ""dammit"". The word ""fake"" should appear 6 or 7 times in your entire response.","['keywords:existence', 'keywords:frequency', 'keywords:frequency']","[{'keywords': ['dammit']}, {'relation': 'at least', 'keyword': 'fake', 'frequency': 6}, {'relation': 'less than', 'keyword': 'fake', 'frequency': 8}]",ifeval,
445,"Hey! I need a rubric for evaluating the performance and price of a laptop. Can you create an example for me? Do not give me any bullet points, lists, or tables. Just write the rubric in plain English paragraphs. I'd like your response to be at least 30 sentences long.",['length_constraints:number_sentences'],"[{'relation': 'at least', 'num_sentences': 30}]",ifeval,
446,"Hi, I'm looking for two Tamil movies to watch. Please recommend exactly two movies. Separated them by 6 asterisk symbols, like below:
[Movie 1]
[Description]
******
[Movie 2]
[Description]

Your entire response should be entirely in Tamil, no other language is allowed, and should not contain any commas. ","['combination:two_responses', 'language:response_language', 'punctuation:no_comma']","[{}, {'language': 'ta'}, {}]",ifeval,
447,"Create a slogan for my company and wrap your entire response with double quotation marks. My company's name is Color Paper. We produce paper towls. We focus on producing eye-catching, colorful paper towls. The slogan must include exactly 2 bullet points in markdown format, like below:
""
Color Paper
* Colorful!
* Eye-catching!
""","['startend:quotation', 'detectable_format:number_bullet_lists']","[{}, {'num_bullets': 2}]",ifeval,
448,"I want a weird poem that I can send to my friend Steve in Australia. It should be about why there are no kangaroo invasions in the US. The word robber should appear at least 2 times, and the poem must contain exactly 2 bullet point in markdown format, using the exact format below:
* Point 1
* Pont 2
Do not include keywords ['kill', 'slaughter', 'occupy', 'invasion'] in the response.","['keywords:frequency', 'detectable_format:number_bullet_lists', 'keywords:forbidden_words']","[{'relation': 'at least', 'keyword': 'robber', 'frequency': 2}, {'num_bullets': 2}, {'forbidden_words': ['kill', 'slaughter', 'occupy', 'invasion']}]",ifeval,
449,"I need to write a research proposal for a project on the effects of social media on the mental health of teenagers. Please only write short sentences, and don't use any commas in your entire response. Include at least five placeholder represented by square brackets, such as [website].","['punctuation:no_comma', 'detectable_content:number_placeholders']","[{}, {'num_placeholders': 5}]",ifeval,
450,"Here is a social media post: ""My daughter graduated from college today! So proud of her!"" Can you make it more exciting? Please make sure to expand it into exactly 2 paragraphs. Separate paragraphs with the markdown divider: ***. Additionally, italicize at least 3 sections by starting and ending with single *, i.e. *italic text*.","['length_constraints:number_paragraphs', 'detectable_format:number_highlighted_sections']","[{'num_paragraphs': 2}, {'num_highlights': 3}]",ifeval,
451,"Create an ad copy by expanding ""Get 40 miles per gallon on the highway"" in the form of a QA with a weird style. Your response should contain less than 8 sentences. Do not include keywords 'mileage' or 'fuel' in your response.","['length_constraints:number_sentences', 'keywords:forbidden_words']","[{'relation': 'less than', 'num_sentences': 8}, {'forbidden_words': ['mileage', 'fuel']}]",ifeval,
452,"Write two advertisements for a new product that is a healthy alternative to soda. One advertisement should be targeted to teenagers and the other should be targeted to professionals. Mark the beginning
of each advertisement with Audience 1 and Audience 2, respectively. Double quotes should be placed around your entire response.","['startend:quotation', 'detectable_format:multiple_sections']","[{}, {'section_spliter': 'Audience', 'num_sections': 2}]",ifeval,
453,"Write a limerick about a customer who is always right. The word ""right"" should appear less than 2 times in the response.
Before you give the limerick, just repeat the request above without any change, at the very beginning of your entire response.","['combination:repeat_prompt', 'keywords:frequency']","[{'prompt_to_repeat': 'Write a limerick about a customer who is always right. The word ""right"" should appear less than 2 times in the response.'}, {'relation': 'less than', 'keyword': 'right', 'frequency': 2}]",ifeval,
454,"Write a riddle about a house that is not a house. Also include the answer. Your response must be at least 400 words and have a title wrapped in double angular brackets, like <<riddle>>.","['length_constraints:number_words', 'detectable_format:title']","[{'relation': 'at least', 'num_words': 336}, {}]",ifeval,
455,"Is the following true? ""People use time to buy money."" Explain your answer in a way that makes it easy for kids to understand. Include the word ""farmer"". Exclude the words ""economy"", ""demand"" and ""supply"".

First REPEAT the ENTIRE REQUEST ABOVE, word for word without change, then give your answer. Please do not say any words or characters before repeating the request.","['combination:repeat_prompt', 'keywords:existence', 'keywords:forbidden_words']","[{'prompt_to_repeat': 'Is the following true? ""People use time to buy money."" Explain your answer in a way that makes it easy for kids to understand. Include the word ""farmer"". Exclude the words ""economy"", ""demand"" and ""supply"".'}, {'keywords': ['farmer']}, {'forbidden_words': ['economy', 'demand', 'supply']}]",ifeval,
456,"Write a riddle about embroidery that has the answer ""needle"". Include keywords 'afternoon' and 'distressed' in the response. Don't use any commas in your answer.","['keywords:existence', 'punctuation:no_comma']","[{'keywords': ['afternoon', 'distressed']}, {}]",ifeval,
457,"create a job description for a clifford blu employee who works at the cash register, and also monitors the shelves for stock level. Use the keyword 'people' and 'skills'. use only lowercase letters.","['change_case:english_lowercase', 'keywords:existence']","[{}, {'keywords': ['people', 'skills']}]",ifeval,
458,"Jennifer goes to the store to buy milk. She has 10 dollars in her pocket and milk costs 3 dollars per gallon. How many gallons of milk can she buy? Explain your thinking. Avoid the keywords: 'divide', 'answer'. Include the keyword 'remainder'.","['keywords:forbidden_words', 'keywords:existence']","[{'forbidden_words': ['divide', 'answer']}, {'keywords': ['remainder']}]",ifeval,
459,"Can you explain to me why there is so much fraud in the world? Please include one italic text section in markdown, i.e *italic text*. Make your entire response less than 30 words.","['detectable_format:number_highlighted_sections', 'length_constraints:number_words']","[{'num_highlights': 1}, {'relation': 'less than', 'num_words': 30}]",ifeval,
460,"Can you give me a zany, bullet point TLDR of this article: https://en.wikipedia.org/wiki/Dota_2

Make it zany, but do not include the keywords 'icefrog', 'blizzard', 'lawsuit' in the response.",['keywords:forbidden_words'],"[{'forbidden_words': ['icefrog', 'blizzard', 'lawsuit']}]",ifeval,
461,Write a 100 word riddle that leaves the reader satisfied and enlightened. Include a few words in all capital letters. But the number of words in all capital letters should be less than 5.,"['change_case:capital_word_frequency', 'change_case:capital_word_frequency']","[{'capital_relation': 'at least', 'capital_frequency': 1}, {'capital_relation': 'less than', 'capital_frequency': 5}]",ifeval,
462,"Can you write me a slogan for my video game project? The project aims to create a very funny fighting game. Please wrap your entire response with double quotation marks. Also, highlight at least three sections in your answer in markdown format using *highlighted text*. Such as: *Funny Fighting*.","['startend:quotation', 'detectable_format:number_highlighted_sections']","[{}, {'num_highlights': 3}]",ifeval,
463,"Can you elaborate on ""I froze when I was jogging""? Include some words in all capital letters. In particular, there should be 5 to 10 such capitalized words.","['change_case:capital_word_frequency', 'change_case:capital_word_frequency']","[{'capital_relation': 'at least', 'capital_frequency': 5}, {'capital_relation': 'less than', 'capital_frequency': 11}]",ifeval,
464,Write a template for a newspaper ad for a dog cage with less than 200 words. Make sure the word unfortunately appears 3 to 5 times in the ad.,"['length_constraints:number_words', 'keywords:frequency', 'keywords:frequency']","[{'relation': 'less than', 'num_words': 200}, {'relation': 'at least', 'keyword': 'unfortunately', 'frequency': 3}, {'relation': 'less than', 'keyword': 'unfortunately', 'frequency': 6}]",ifeval,
465,Write a story about a family that goes camping in the woods. Your entire response should be in English and in all capital letters.,['change_case:english_capital'],[{}],ifeval,
466,Write an essay on the differences between Sunni and Shi'a Muslims. Your entire response must contain at least 1200 words.,['length_constraints:number_words'],"[{'relation': 'at least', 'num_words': 1200}]",ifeval,
467,"Write a long sentence about tax filing, in a style that is appropriate for a president of the united states. The sentence should contain the letter q at least 6 times.",['keywords:letter_frequency'],"[{'let_relation': 'at least', 'letter': 'q', 'let_frequency': 6}]",ifeval,
468,"Write a story about a man who is in love with a woman who has turrets. The story should be in at least 4 sections with each section starting with Section X (where X is 1, 2, 3, 4) and the entire response should have at least 100 sentences.","['detectable_format:multiple_sections', 'length_constraints:number_sentences']","[{'section_spliter': 'Section', 'num_sections': 4}, {'relation': 'at least', 'num_sentences': 100}]",ifeval,
469,Give me a 300+ word startup pitch for a company that provides a service that creates trusts for people online.,['length_constraints:number_words'],"[{'relation': 'at least', 'num_words': 300}]",ifeval,
470,"Write an essay on first names, without using any capital letters --- your ENTIRE response must be in lowercases. There should be exactly 3 paragraphs with the only paragraph separation being two new lines. Start Paragraph 2 with the word Jasper.","['change_case:english_lowercase', 'length_constraints:nth_paragraph_first_word']","[{}, {'first_word': 'jasper', 'num_paragraphs': 3, 'nth_paragraph': 2}]",ifeval,
471,"Write an HTML page that lists 25 limericks about people named ""Bill"". The page should include keywords 'economist', 'bill', and 'jurgen'",['keywords:existence'],"[{'keywords': ['bill', 'economist', 'jurgen']}]",ifeval,
472,"What is the answer to the riddle that asks what you can catch but not throw, and what you can throw but not catch? The entire reply must be less than 20 words and contain a title in double angular brackets, i.e. <<title>>.","['length_constraints:number_words', 'detectable_format:title']","[{'relation': 'less than', 'num_words': 20}, {}]",ifeval,
473,"How to tell others that your major is computer science, without saying the word computer or science? You entire response should not contain the word computer and science.",['keywords:forbidden_words'],"[{'forbidden_words': ['computer', 'science']}]",ifeval,
474,"Summarize the history of Japan. Italicize at least 5 keywords in your response. To indicate a italic word, wrap it with asterisk, like *italic*",['detectable_format:number_highlighted_sections'],[{'num_highlights': 5}],ifeval,
475,"Write a persuasive email to a teenager who lives in Aberdeen, Scotland. The main point is to encourage them to volunteer at a local soup kitchen. At least 5 words in the output should be in all caps.",['change_case:capital_word_frequency'],"[{'capital_relation': 'at least', 'capital_frequency': 5}]",ifeval,
476,"Generate a list of 100 random names. Make sure that no name is repeated and every name is unique. All letters in your entire response should be capitalized. Italicize 5 of your favorite names. For example:
1. *FAVORITE NAME 1*
2. *FAVORITE NAME 2*
3. ...","['detectable_format:number_highlighted_sections', 'change_case:english_capital']","[{'num_highlights': 5}, {}]",ifeval,
477,"Write a song about Layton, making sure to use the letter ""a"" at most once.",['keywords:letter_frequency'],"[{'let_relation': 'less than', 'letter': 'a', 'let_frequency': 2}]",ifeval,
478,"Write a song for the person named 'Guerrero'. Make sure to not include the words 'name', 'song', 'person', 'man', 'woman' throughout your entire output. Also avoid using commas in your entire response.
","['keywords:forbidden_words', 'punctuation:no_comma']","[{'forbidden_words': ['name', 'song', 'person', 'man', 'woman']}, {}]",ifeval,
479,"In this task, you need to first repeat the request word by word, without any change, then answer the request. Do not say anything before repeating the exact request.

Write a pitch deck for a startup that aims to make a new social network that focuses on the board game society.",['combination:repeat_prompt'],[{'prompt_to_repeat': 'Write a pitch deck for a startup that aims to make a new social network that focuses on the board game society.'}],ifeval,
